wavelength (nm) ,irradiance (w m-2 nm-2)
300,7.44E-11
301,1.83E-10
302,3.59E-10
303,1.13E-09
304,1.97E-09
305,4.44E-09
306,6.27E-09
307,1.18E-08
308,2.00E-08
309,2.69E-08
310,4.24E-08
311,8.27E-08
312,1.12E-07
313,1.54E-07
314,2.06E-07
315,2.80E-07
316,2.87E-07
317,4.50E-07
318,5.20E-07
319,6.83E-07
320,7.72E-07
321,1.04E-06
322,1.02E-06
323,1.08E-06
324,1.55E-06
325,1.73E-06
326,2.60E-06
327,2.97E-06
328,2.88E-06
329,3.79E-06
330,4.64E-06
331,4.32E-06
332,5.11E-06
333,5.48E-06
334,5.78E-06
335,7.04E-06
336,6.93E-06
337,6.85E-06
338,8.75E-06
339,1.03E-05
340,1.22E-05
341,1.26E-05
342,1.44E-05
343,1.66E-05
344,1.48E-05
345,1.78E-05
346,2.04E-05
347,2.32E-05
348,2.45E-05
349,2.64E-05
350,3.29E-05
351,3.73E-05
352,3.80E-05
353,4.15E-05
354,5.24E-05
355,5.75E-05
356,5.60E-05
357,4.96E-05
358,5.02E-05
359,5.89E-05
360,8.07E-05
361,9.83E-05
362,1.83E-04
363,2.73E-04
364,3.39E-04
365,3.96E-04
366,5.25E-04
367,5.73E-04
368,5.87E-04
369,7.59E-04
370,9.32E-04
371,9.54E-04
372,9.97E-04
373,9.76E-04
374,9.35E-04
375,1.05E-03
376,1.28E-03
377,1.44E-03
378,1.85E-03
379,1.71E-03
380,1.82E-03
381,2.17E-03
382,1.75E-03
383,1.42E-03
384,1.66E-03
385,2.30E-03
386,2.21E-03
387,2.42E-03
388,2.45E-03
389,2.74E-03
390,3.31E-03
391,3.71E-03
392,3.65E-03
393,2.31E-03
394,2.52E-03
395,4.31E-03
396,4.16E-03
397,2.40E-03
398,4.92E-03
399,6.33E-03
400,6.78E-03
401,7.29E-03
402,7.83E-03
403,7.78E-03
404,8.19E-03
405,8.30E-03
406,8.40E-03
407,8.57E-03
408,9.16E-03
409,1.00E-02
410,8.74E-03
411,1.00E-02
412,1.09E-02
413,1.07E-02
414,1.08E-02
415,1.15E-02
416,1.21E-02
417,1.21E-02
418,1.18E-02
419,1.26E-02
420,1.18E-02
421,1.37E-02
422,1.39E-02
423,1.37E-02
424,1.39E-02
425,1.47E-02
426,1.45E-02
427,1.43E-02
428,1.48E-02
429,1.39E-02
430,1.13E-02
431,1.05E-02
432,1.78E-02
433,1.69E-02
434,1.59E-02
435,1.78E-02
436,1.99E-02
437,2.06E-02
438,1.84E-02
439,1.81E-02
440,2.11E-02
441,2.12E-02
442,2.32E-02
443,2.41E-02
444,2.40E-02
445,2.55E-02
446,2.34E-02
447,2.69E-02
448,2.76E-02
449,2.78E-02
450,2.92E-02
451,3.06E-02
452,2.97E-02
453,2.77E-02
454,3.01E-02
455,3.04E-02
456,3.19E-02
457,3.26E-02
458,3.24E-02
459,3.27E-02
460,3.30E-02
461,3.46E-02
462,3.54E-02
463,3.60E-02
464,3.54E-02
465,3.55E-02
466,3.67E-02
467,3.55E-02
468,3.76E-02
469,3.83E-02
470,3.74E-02
471,3.85E-02
472,4.11E-02
473,4.01E-02
474,4.17E-02
475,4.42E-02
476,4.39E-02
477,4.53E-02
478,4.77E-02
479,4.77E-02
480,4.95E-02
481,5.05E-02
482,5.15E-02
483,5.16E-02
484,5.14E-02
485,5.20E-02
486,4.28E-02
487,4.87E-02
488,5.36E-02
489,5.12E-02
490,5.82E-02
491,5.68E-02
492,5.48E-02
493,5.93E-02
494,5.86E-02
495,6.29E-02
496,6.05E-02
497,6.22E-02
498,6.12E-02
499,6.15E-02
500,6.15E-02
501,5.99E-02
502,6.01E-02
503,6.32E-02
504,5.91E-02
505,6.35E-02
506,6.62E-02
507,6.34E-02
508,6.19E-02
509,6.50E-02
510,6.34E-02
511,6.45E-02
512,6.61E-02
513,6.20E-02
514,6.06E-02
515,6.23E-02
516,6.28E-02
517,5.11E-02
518,5.89E-02
519,5.75E-02
520,6.33E-02
521,6.42E-02
522,6.61E-02
523,6.28E-02
524,6.81E-02
525,6.78E-02
526,6.61E-02
527,5.79E-02
528,6.64E-02
529,6.96E-02
530,6.71E-02
531,7.09E-02
532,6.97E-02
533,6.24E-02
534,6.69E-02
535,6.79E-02
536,7.08E-02
537,6.56E-02
538,6.88E-02
539,6.71E-02
540,6.48E-02
541,6.23E-02
542,6.78E-02
543,6.68E-02
544,6.93E-02
545,6.79E-02
546,6.74E-02
547,6.84E-02
548,6.66E-02
549,6.89E-02
550,6.85E-02
551,6.85E-02
552,6.98E-02
553,6.76E-02
554,6.87E-02
555,6.89E-02
556,6.75E-02
557,6.56E-02
558,6.69E-02
559,6.31E-02
560,6.40E-02
561,6.75E-02
562,6.39E-02
563,6.60E-02
564,6.44E-02
565,6.45E-02
566,6.07E-02
567,6.44E-02
568,6.35E-02
569,6.16E-02
570,6.14E-02
571,5.88E-02
572,6.13E-02
573,6.08E-02
574,5.97E-02
575,5.76E-02
576,5.64E-02
577,5.71E-02
578,5.46E-02
579,5.44E-02
580,5.41E-02
581,5.31E-02
582,5.27E-02
583,5.21E-02
584,5.08E-02
585,4.92E-02
586,4.70E-02
587,4.69E-02
588,4.42E-02
589,3.67E-02
590,3.75E-02
591,3.85E-02
592,3.62E-02
593,3.53E-02
594,3.36E-02
595,3.18E-02
596,3.15E-02
597,3.02E-02
598,2.86E-02
599,2.72E-02
600,2.62E-02
601,2.46E-02
602,2.32E-02
603,2.27E-02
604,2.21E-02
605,2.12E-02
606,2.09E-02
607,2.07E-02
608,2.04E-02
609,1.99E-02
610,1.96E-02
611,1.92E-02
612,1.93E-02
613,1.88E-02
614,1.80E-02
615,1.85E-02
616,1.78E-02
617,1.74E-02
618,1.79E-02
619,1.78E-02
620,1.76E-02
621,1.75E-02
622,1.67E-02
623,1.64E-02
624,1.62E-02
625,1.59E-02
626,1.57E-02
627,1.60E-02
628,1.50E-02
629,1.54E-02
630,1.50E-02
631,1.51E-02
632,1.44E-02
633,1.52E-02
634,1.48E-02
635,1.48E-02
636,1.43E-02
637,1.47E-02
638,1.46E-02
639,1.44E-02
640,1.40E-02
641,1.39E-02
642,1.38E-02
643,1.38E-02
644,1.35E-02
645,1.35E-02
646,1.29E-02
647,1.27E-02
648,1.24E-02
649,1.19E-02
650,1.16E-02
651,1.21E-02
652,1.13E-02
653,1.14E-02
654,1.10E-02
655,1.02E-02
656,8.58E-03
657,8.64E-03
658,9.31E-03
659,9.00E-03
660,8.72E-03
661,8.49E-03
662,8.34E-03
663,8.26E-03
664,8.25E-03
665,8.31E-03
666,8.21E-03
667,8.07E-03
668,8.02E-03
669,8.08E-03
670,7.90E-03
671,7.81E-03
672,7.63E-03
673,7.61E-03
674,7.52E-03
675,7.37E-03
676,7.38E-03
677,7.23E-03
678,7.19E-03
679,7.04E-03
680,6.95E-03
681,6.83E-03
682,6.77E-03
683,6.61E-03
684,6.48E-03
685,6.39E-03
686,6.13E-03
687,4.33E-03
688,4.92E-03
689,4.86E-03
690,5.00E-03
691,5.01E-03
692,4.90E-03
693,4.63E-03
694,4.37E-03
695,4.24E-03
696,4.02E-03
697,3.99E-03
698,3.68E-03
699,3.39E-03
700,3.18E-03
701,2.96E-03
702,2.70E-03
703,2.43E-03
704,2.29E-03
705,2.14E-03
706,1.94E-03
707,1.61E-03
708,1.48E-03
709,1.36E-03
710,1.25E-03
711,1.13E-03
712,8.54E-04
713,6.93E-04
714,6.11E-04
715,5.00E-04
716,3.90E-04
717,2.37E-04
718,1.53E-04
719,7.52E-05
720,5.67E-05
721,4.41E-05
722,3.56E-05
723,2.32E-05
724,1.51E-05
725,9.54E-06
726,6.39E-06
727,4.12E-06
728,2.54E-06
729,1.64E-06
730,1.31E-06
731,9.15E-07
732,7.29E-07
733,5.58E-07
734,4.26E-07
735,3.10E-07
736,2.54E-07
737,2.09E-07
738,1.76E-07
739,1.41E-07
740,1.20E-07
741,1.06E-07
742,9.43E-08
743,8.57E-08
744,7.68E-08
745,6.83E-08
746,6.59E-08
747,6.37E-08
748,6.12E-08
749,5.89E-08
750,5.68E-08
751,5.55E-08
752,5.47E-08
753,5.34E-08
754,5.30E-08
755,5.19E-08
756,5.23E-08
757,5.33E-08
758,5.47E-08
759,5.43E-08
760,1.23E-08
761,7.37E-09
762,3.40E-08
763,1.94E-08
764,2.84E-08
765,3.73E-08
766,4.57E-08
767,6.37E-08
768,8.49E-08
769,1.00E-07
770,1.13E-07
771,1.24E-07
772,1.37E-07
773,1.50E-07
