wavelength (nm),EQE
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0.0087
316,0.02143
317,0.03415
318,0.04687
319,0.05959
320,0.07231
321,0.08504
322,0.09776
323,0.11048
324,0.1232
325,0.13593
326,0.14865
327,0.16137
328,0.17409
329,0.18682
330,0.19954
331,0.21226
332,0.22498
333,0.23771
334,0.25043
335,0.26315
336,0.27587
337,0.28859
338,0.30132
339,0.31404
340,0.32676
341,0.33948
342,0.35221
343,0.36493
344,0.37765
345,0.39037
346,0.4031
347,0.41582
348,0.42854
349,0.44126
350,0.45398
351,0.46671
352,0.47943
353,0.49215
354,0.50487
355,0.5176
356,0.52065
357,0.52371
358,0.52676
359,0.52981
360,0.53287
361,0.54152
362,0.55017
363,0.55882
364,0.56747
365,0.57612
366,0.58419
367,0.59226
368,0.60034
369,0.60841
370,0.61648
371,0.63052
372,0.64456
373,0.65859
374,0.67263
375,0.68667
376,0.69735
377,0.70803
378,0.71872
379,0.7294
380,0.74008
381,0.74115
382,0.74222
383,0.74329
384,0.74437
385,0.74544
386,0.75099
387,0.75653
388,0.76208
389,0.76763
390,0.77318
391,0.76895
392,0.76472
393,0.76049
394,0.75626
395,0.75203
396,0.75855
397,0.76507
398,0.7716
399,0.77812
400,0.78464
401,0.79366
402,0.80269
403,0.81171
404,0.82073
405,0.82976
406,0.82961
407,0.82947
408,0.82933
409,0.82919
410,0.82904
411,0.83144
412,0.83384
413,0.83623
414,0.83863
415,0.84103
416,0.83914
417,0.83725
418,0.83537
419,0.83348
420,0.8316
421,0.83388
422,0.83616
423,0.83845
424,0.84073
425,0.84302
426,0.84702
427,0.85103
428,0.85504
429,0.85905
430,0.86306
431,0.86291
432,0.86275
433,0.8626
434,0.86244
435,0.86229
436,0.86389
437,0.86549
438,0.86709
439,0.86869
440,0.87029
441,0.87416
442,0.87804
443,0.88191
444,0.88579
445,0.88966
446,0.8897
447,0.88974
448,0.88978
449,0.88982
450,0.88986
451,0.89126
452,0.89266
453,0.89407
454,0.89547
455,0.89688
456,0.89461
457,0.89234
458,0.89007
459,0.8878
460,0.88553
461,0.88553
462,0.88553
463,0.88552
464,0.88552
465,0.88552
466,0.88795
467,0.89037
468,0.8928
469,0.89523
470,0.89766
471,0.904
472,0.91033
473,0.91666
474,0.923
475,0.92933
476,0.93113
477,0.93293
478,0.93472
479,0.93652
480,0.93832
481,0.93689
482,0.93546
483,0.93403
484,0.93259
485,0.93116
486,0.93713
487,0.9431
488,0.94907
489,0.95504
490,0.96101
491,0.95998
492,0.95896
493,0.95793
494,0.9569
495,0.95587
496,0.96237
497,0.96887
498,0.97537
499,0.98186
500,0.98836
501,0.98779
502,0.98723
503,0.98666
504,0.98609
505,0.98552
506,0.98826
507,0.99101
508,0.99376
509,0.9965
510,0.99925
511,0.99859
512,0.99794
513,0.99729
514,0.99663
515,0.99598
516,0.99465
517,0.99332
518,0.99198
519,0.99065
520,0.98932
521,0.98951
522,0.98969
523,0.98988
524,0.99007
525,0.99026
526,0.99221
527,0.99415
528,0.9961
529,0.99805
530,1
531,0.99886
532,0.99772
533,0.99658
534,0.99544
535,0.9943
536,0.99435
537,0.9944
538,0.99444
539,0.99449
540,0.99454
541,0.99223
542,0.98992
543,0.9876
544,0.98529
545,0.98297
546,0.97453
547,0.96609
548,0.95765
549,0.9492
550,0.94076
551,0.94864
552,0.95653
553,0.96441
554,0.9723
555,0.98018
556,0.97757
557,0.97496
558,0.97235
559,0.96974
560,0.96712
561,0.96575
562,0.96437
563,0.96299
564,0.96162
565,0.96024
566,0.95931
567,0.95838
568,0.95745
569,0.95653
570,0.9556
571,0.95919
572,0.96278
573,0.96637
574,0.96997
575,0.97356
576,0.9722
577,0.97083
578,0.96947
579,0.96811
580,0.96674
581,0.96631
582,0.96587
583,0.96544
584,0.965
585,0.96457
586,0.9628
587,0.96103
588,0.95927
589,0.9575
590,0.95573
591,0.95291
592,0.95009
593,0.94727
594,0.94444
595,0.94162
596,0.94223
597,0.94284
598,0.94345
599,0.94405
600,0.94466
601,0.94171
602,0.93875
603,0.9358
604,0.93284
605,0.92988
606,0.92923
607,0.92858
608,0.92792
609,0.92727
610,0.92662
611,0.92345
612,0.92029
613,0.91713
614,0.91397
615,0.9108
616,0.9083
617,0.90579
618,0.90329
619,0.90078
620,0.89828
621,0.8915
622,0.88471
623,0.87793
624,0.87114
625,0.86436
626,0.85599
627,0.84763
628,0.83926
629,0.83089
630,0.82252
631,0.81455
632,0.80657
633,0.79859
634,0.79062
635,0.78264
636,0.77152
637,0.7604
638,0.74928
639,0.73816
640,0.72704
641,0.71873
642,0.71043
643,0.70213
644,0.69383
645,0.68552
646,0.66306
647,0.64059
648,0.61812
649,0.59565
650,0.57319
651,0.51338
652,0.45358
653,0.39378
654,0.33398
655,0.27418
656,0.23456
657,0.19494
658,0.15531
659,0.11569
660,0.07607
661,0.06587
662,0.05567
663,0.04546
664,0.03526
665,0.02505
666,0.02194
667,0.01882
668,0.0157
669,0.01258
670,0.00946
671,0.0084
672,0.00734
673,0.00628
674,0.00522
675,0.00416
676,0.00378
677,0.00339
678,0.003
679,0.00262
680,0.00223
681,0.00194
682,0.00166
683,0.00137
684,0.00108
685,7.97E-04
686,7.94E-04
687,7.91E-04
688,7.88E-04
689,7.85E-04
690,7.83E-04
691,7.36E-04
692,6.89E-04
693,6.42E-04
694,5.96E-04
695,5.49E-04
696,5.03E-04
697,4.58E-04
698,4.13E-04
699,3.67E-04
700,3.22E-04
701,3.00E-04
702,2.77E-04
703,2.55E-04
704,2.32E-04
705,2.10E-04
706,2.93E-04
707,3.76E-04
708,4.59E-04
709,5.42E-04
710,6.25E-04
711,5.21E-04
712,4.16E-04
713,3.12E-04
714,2.07E-04
715,1.03E-04
716,8.20E-05
717,6.15E-05
718,4.10E-05
719,2.05E-05
720,0
721,2.01E-05
722,4.03E-05
723,6.04E-05
724,8.05E-05
725,1.01E-04
726,1.21E-04
727,1.40E-04
728,1.60E-04
729,1.80E-04
730,2.00E-04
731,2.00E-04
732,1.99E-04
733,1.99E-04
734,1.99E-04
735,1.98E-04
736,1.78E-04
737,1.58E-04
738,1.38E-04
739,1.18E-04
740,9.80E-05
741,1.17E-04
742,1.37E-04
743,1.56E-04
744,1.76E-04
745,1.95E-04
746,1.75E-04
747,1.56E-04
748,1.36E-04
749,1.16E-04
750,9.68E-05
751,1.74E-04
752,2.52E-04
753,3.29E-04
754,4.07E-04
755,4.84E-04
756,4.07E-04
757,3.29E-04
758,2.52E-04
759,1.74E-04
760,9.64E-05
761,9.63E-05
762,9.62E-05
763,9.61E-05
764,9.60E-05
765,9.59E-05
766,1.15E-04
767,1.34E-04
768,1.53E-04
769,1.71E-04
770,1.90E-04
771,1.91E-04
772,1.92E-04
773,1.92E-04
774,1.93E-04
775,1.94E-04
776,1.94E-04
777,1.95E-04
778,1.95E-04
779,1.96E-04
780,1.96E-04
781,1.97E-04
782,1.97E-04
783,1.98E-04
784,1.98E-04
785,1.99E-04
786,1.59E-04
787,1.19E-04
788,7.96E-05
789,3.98E-05
790,0
791,4.11E-05
792,8.23E-05
793,1.23E-04
794,1.65E-04
795,2.06E-04
796,2.27E-04
797,2.49E-04
798,2.70E-04
799,2.91E-04
800,3.13E-04
801,3.34E-04
802,3.56E-04
803,3.77E-04
804,3.99E-04
805,4.20E-04
806,4.42E-04
807,4.63E-04
808,4.84E-04
809,5.06E-04
810,5.27E-04
811,5.49E-04
812,5.70E-04
813,5.92E-04
814,6.13E-04
815,6.35E-04
816,6.56E-04
817,6.77E-04
818,6.99E-04
819,7.20E-04
820,7.42E-04
821,7.63E-04
822,7.85E-04
823,8.06E-04
824,8.27E-04
825,8.49E-04
826,8.70E-04
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
