wl,2m,3m,4m,5m,6m,7m,8m,9m,0m
300,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0
335,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0,0,0
360,0.00608,0.00452,0.00347,0.00267,0.00206,0.00161,0.00125,0.00103,0.00157
365,0.00614,0.0044,0.00328,0.00251,0.00193,0.00153,0.00112,9.69E-04,0.00165
370,0.00469,0.00343,0.00256,0.00196,0.00152,0.0012,9.27E-04,7.87E-04,0.00127
375,0.00577,0.00411,0.00305,0.00232,0.00177,0.00141,0.00106,8.73E-04,0.0016
380,0.00504,0.00362,0.00269,0.00205,0.00159,0.00126,9.24E-04,8.07E-04,0.00142
385,0.00483,0.00354,0.00267,0.00205,0.0016,0.00126,9.73E-04,8.26E-04,0.00145
390,0.00494,0.00339,0.0024,0.00176,0.00132,0.00105,7.69E-04,6.52E-04,0.00141
395,0.00693,0.00442,0.00293,0.00199,0.00142,0.00109,7.30E-04,6.65E-04,0.00165
400,0.04393,0.02598,0.01605,0.00942,0.00596,0.00415,0.00237,0.00224,0.00884
405,0.19597,0.1138,0.06881,0.03876,0.02361,0.0159,0.00828,0.0081,0.03802
410,0.49248,0.28502,0.17163,0.096,0.05802,0.03888,0.01989,0.01962,0.09527
415,0.75059,0.43459,0.26178,0.14644,0.08856,0.0593,0.03048,0.0299,0.1453
420,0.94243,0.54875,0.33269,0.18798,0.11494,0.07739,0.04146,0.03942,0.18353
425,1.00497,0.58968,0.36047,0.20613,0.12777,0.08641,0.04883,0.04437,0.19773
430,0.81862,0.49091,0.30691,0.18136,0.1165,0.07979,0.05061,0.04191,0.16605
435,0.64608,0.40525,0.26416,0.16539,0.11269,0.07857,0.05808,0.04238,0.14131
440,0.58519,0.38781,0.26399,0.17506,0.12604,0.08889,0.07341,0.04829,0.14361
445,0.62492,0.43129,0.30116,0.20711,0.15459,0.10939,0.09498,0.05848,0.17139
450,0.72933,0.51127,0.35943,0.25124,0.19112,0.13534,0.11725,0.06992,0.21281
455,0.79951,0.56335,0.39984,0.28441,0.21966,0.15735,0.1287,0.0781,0.22716
460,0.82843,0.58966,0.43208,0.31904,0.25187,0.18603,0.13455,0.08879,0.19877
465,0.96717,0.69655,0.52856,0.40457,0.32532,0.24685,0.15946,0.11507,0.18179
470,1.1687,0.84808,0.65497,0.5098,0.41289,0.3165,0.1952,0.14809,0.18907
475,1.14672,0.84039,0.65605,0.51508,0.41741,0.32014,0.19725,0.15643,0.17226
480,0.92923,0.69589,0.55125,0.437,0.35263,0.26861,0.17166,0.14644,0.13133
485,0.76927,0.59808,0.48424,0.38916,0.31152,0.23424,0.15999,0.15051,0.1002
490,0.78109,0.63038,0.52076,0.42387,0.33707,0.25069,0.18169,0.18399,0.09339
495,0.90903,0.75123,0.6279,0.51535,0.40877,0.30277,0.22727,0.23863,0.10343
500,1.08035,0.90321,0.75854,0.62605,0.49732,0.36941,0.28221,0.2999,0.12215
505,1.22012,1.02414,0.85992,0.71356,0.57018,0.42812,0.33003,0.34983,0.14333
510,1.25409,1.05272,0.8801,0.73643,0.59588,0.45744,0.35511,0.37125,0.16123
515,1.20104,1.00563,0.8333,0.70685,0.58425,0.4649,0.36359,0.37126,0.178
520,1.14569,0.9563,0.78399,0.6761,0.57326,0.47509,0.37494,0.37134,0.19742
525,1.10211,0.9203,0.75063,0.65481,0.56547,0.4823,0.38549,0.36845,0.20934
530,1.08859,0.91517,0.75059,0.65543,0.56843,0.48925,0.39827,0.36487,0.21081
535,1.08241,0.92097,0.76628,0.66345,0.57077,0.48765,0.40651,0.35412,0.19996
540,1.07506,0.92641,0.78347,0.66951,0.56789,0.47764,0.40834,0.33728,0.18235
545,1.08315,0.9411,0.80501,0.67901,0.56797,0.47017,0.41053,0.32373,0.1684
550,1.09944,0.95729,0.82254,0.68579,0.56704,0.46343,0.41087,0.31242,0.15952
555,1.10532,0.95876,0.82205,0.67817,0.55557,0.44993,0.40295,0.29794,0.15333
560,1.09769,0.94317,0.80181,0.65465,0.53231,0.42864,0.38615,0.27929,0.14926
565,1.07977,0.91454,0.7663,0.61941,0.5009,0.40263,0.3633,0.25863,0.14766
570,1.05632,0.87907,0.72275,0.57853,0.4661,0.37526,0.33797,0.23802,0.1481
575,1.02664,0.83924,0.67617,0.53637,0.43105,0.34831,0.31246,0.21855,0.14861
580,0.98998,0.79521,0.62752,0.49352,0.39594,0.32154,0.28693,0.19981,0.14826
585,0.94399,0.74604,0.57702,0.45014,0.36066,0.29449,0.26129,0.18143,0.14597
590,0.8857,0.6893,0.52273,0.40454,0.32376,0.26592,0.2345,0.16253,0.14113
595,0.81894,0.62791,0.4669,0.35835,0.28639,0.23668,0.20737,0.14356,0.13423
