wavelength(nm),Quantum Efficiency
200,72.974
210,73.31942857
220,73.99418182
230,72.35130435
240,69.09383333
250,61.1568
260,52.55692308
270,45.06205926
280,43.60991429
290,46.98744828
300,51.7824
310,53.332
320,53.083625
330,53.80472727
340,52.97352941
350,52.09062857
360,49.53111111
370,48.12540541
380,50.40273684
390,53.87641026
400,55.6853
410,57.23053659
420,58.59885714
430,59.05860465
440,60.21890909
450,60.85093333
460,61.3746087
470,61.82587234
480,62.23766667
490,62.52383673
500,62.9672
510,63.20109804
520,63.46892308
530,63.80150943
540,63.9197037
550,64.15309091
560,64.2475
570,64.48
580,64.5762069
590,64.82047458
600,64.83546667
610,64.87842623
620,65.022
630,65.05079365
640,65.235625
650,65.26215385
660,65.40624242
670,65.45164179
680,65.49935294
690,65.63553623
700,65.72
710,65.68332394
720,65.76477778
730,65.8100274
740,65.79875676
750,65.9928
760,65.94515789
770,66.06623377
780,66.01251282
790,66.13124051
800,66.28265
810,66.25120988
820,66.20239024
830,66.30115663
840,66.33261905
850,66.2904
860,66.4164186
870,66.40413793
880,66.55981818
890,66.46121348
900,66.42266667
910,66.56210989
920,66.63382609
930,66.64666667
940,66.49038298
950,66.22122105
960,66.20825
970,65.56659794
980,64.18771429
990,62.18662626
1000,59.60556
1010,56.08605941
1020,51.26913725
1030,45.30935922
1040,38.55207692
1050,31.50544762
1060,24.60932075
1070,19.6348785
1080,15.81918519
1090,12.69577982
1100,10.04896
