wavelength (nm),EQE
300,0.20019
301,0.20697
302,0.21374
303,0.22052
304,0.22729
305,0.23407
306,0.24085
307,0.24762
308,0.2544
309,0.26118
310,0.26795
311,0.27473
312,0.2815
313,0.28828
314,0.29506
315,0.30183
316,0.30861
317,0.31539
318,0.32216
319,0.32894
320,0.33572
321,0.34249
322,0.34927
323,0.35604
324,0.36282
325,0.3696
326,0.37637
327,0.38315
328,0.38993
329,0.3967
330,0.40348
331,0.41025
332,0.41703
333,0.42381
334,0.43058
335,0.43736
336,0.44414
337,0.45091
338,0.45769
339,0.46447
340,0.47124
341,0.47802
342,0.48479
343,0.49157
344,0.49835
345,0.50512
346,0.5119
347,0.51868
348,0.52545
349,0.53223
350,0.539
351,0.54578
352,0.55256
353,0.55933
354,0.56611
355,0.57289
356,0.56652
357,0.56016
358,0.55379
359,0.54742
360,0.54106
361,0.55215
362,0.56324
363,0.57432
364,0.58541
365,0.5965
366,0.59301
367,0.58952
368,0.58603
369,0.58254
370,0.57905
371,0.58931
372,0.59958
373,0.60985
374,0.62012
375,0.63038
376,0.64291
377,0.65543
378,0.66796
379,0.68049
380,0.69301
381,0.69424
382,0.69548
383,0.69671
384,0.69794
385,0.69917
386,0.71396
387,0.72874
388,0.74353
389,0.75831
390,0.7731
391,0.77289
392,0.77269
393,0.77248
394,0.77227
395,0.77207
396,0.78069
397,0.78932
398,0.79794
399,0.80657
400,0.81519
401,0.81807
402,0.82094
403,0.82382
404,0.82669
405,0.82957
406,0.82977
407,0.82998
408,0.83018
409,0.83039
410,0.83059
411,0.83901
412,0.84743
413,0.85585
414,0.86427
415,0.87269
416,0.87043
417,0.86817
418,0.86591
419,0.86365
420,0.86139
421,0.86694
422,0.87248
423,0.87803
424,0.88357
425,0.88911
426,0.89076
427,0.8924
428,0.89404
429,0.89569
430,0.89733
431,0.8963
432,0.89528
433,0.89425
434,0.89322
435,0.89219
436,0.89877
437,0.90534
438,0.91191
439,0.91848
440,0.92505
441,0.92279
442,0.92053
443,0.91827
444,0.91601
445,0.91376
446,0.91478
447,0.91581
448,0.91684
449,0.91786
450,0.91889
451,0.92279
452,0.92669
453,0.93059
454,0.9345
455,0.9384
456,0.93593
457,0.93347
458,0.931
459,0.92854
460,0.92608
461,0.92895
462,0.93183
463,0.9347
464,0.93758
465,0.94045
466,0.94066
467,0.94086
468,0.94107
469,0.94127
470,0.94148
471,0.94066
472,0.93983
473,0.93901
474,0.93819
475,0.93737
476,0.94066
477,0.94394
478,0.94723
479,0.95051
480,0.9538
481,0.95441
482,0.95503
483,0.95565
484,0.95626
485,0.95688
486,0.95359
487,0.95031
488,0.94702
489,0.94374
490,0.94045
491,0.94497
492,0.94949
493,0.954
494,0.95852
495,0.96304
496,0.9616
497,0.96016
498,0.95873
499,0.95729
500,0.95585
501,0.95421
502,0.95257
503,0.95092
504,0.94928
505,0.94764
506,0.95133
507,0.95503
508,0.95873
509,0.96242
510,0.96612
511,0.96489
512,0.96365
513,0.96242
514,0.96119
515,0.95996
516,0.95893
517,0.9579
518,0.95688
519,0.95585
520,0.95482
521,0.95811
522,0.9614
523,0.96468
524,0.96797
525,0.97125
526,0.96715
527,0.96304
528,0.95893
529,0.95482
530,0.95072
531,0.95133
532,0.95195
533,0.95257
534,0.95318
535,0.9538
536,0.95606
537,0.95832
538,0.96057
539,0.96283
540,0.96509
541,0.96222
542,0.95934
543,0.95647
544,0.95359
545,0.95072
546,0.954
547,0.95729
548,0.96057
549,0.96386
550,0.96715
551,0.96571
552,0.96427
553,0.96283
554,0.9614
555,0.95996
556,0.9614
557,0.96283
558,0.96427
559,0.96571
560,0.96715
561,0.96838
562,0.96961
563,0.97084
564,0.97207
565,0.97331
566,0.97023
567,0.96715
568,0.96406
569,0.96098
570,0.9579
571,0.95852
572,0.95914
573,0.95975
574,0.96037
575,0.96098
576,0.96427
577,0.96756
578,0.97084
579,0.97413
580,0.97741
581,0.97331
582,0.9692
583,0.96509
584,0.96098
585,0.95688
586,0.95852
587,0.96016
588,0.96181
589,0.96345
590,0.96509
591,0.96673
592,0.96838
593,0.97002
594,0.97166
595,0.97331
596,0.97002
597,0.96673
598,0.96345
599,0.96016
600,0.95688
601,0.95955
602,0.96222
603,0.96489
604,0.96756
605,0.97023
606,0.97146
607,0.97269
608,0.97392
609,0.97515
610,0.97639
611,0.97351
612,0.97064
613,0.96776
614,0.96489
615,0.96201
616,0.9614
617,0.96078
618,0.96016
619,0.95955
620,0.95893
621,0.9616
622,0.96427
623,0.96694
624,0.96961
625,0.97228
626,0.96981
627,0.96735
628,0.96489
629,0.96242
630,0.95996
631,0.95811
632,0.95626
633,0.95441
634,0.95257
635,0.95072
636,0.95441
637,0.95811
638,0.96181
639,0.9655
640,0.9692
641,0.96776
642,0.96632
643,0.96489
644,0.96345
645,0.96201
646,0.96263
647,0.96324
648,0.96386
649,0.96448
650,0.96509
651,0.96653
652,0.96797
653,0.9694
654,0.97084
655,0.97228
656,0.96858
657,0.96489
658,0.96119
659,0.95749
660,0.9538
661,0.95729
662,0.96078
663,0.96427
664,0.96776
665,0.97125
666,0.97146
667,0.97166
668,0.97187
669,0.97207
670,0.97228
671,0.96981
672,0.96735
673,0.96489
674,0.96242
675,0.95996
676,0.96263
677,0.9653
678,0.96797
679,0.97064
680,0.97331
681,0.97146
682,0.96961
683,0.96776
684,0.96591
685,0.96406
686,0.96283
687,0.9616
688,0.96037
689,0.95914
690,0.9579
691,0.96181
692,0.96571
693,0.96961
694,0.97351
695,0.97741
696,0.9731
697,0.96879
698,0.96448
699,0.96016
700,0.95585
701,0.95503
702,0.95421
703,0.95339
704,0.95257
705,0.95174
706,0.95503
707,0.95832
708,0.9616
709,0.96489
710,0.96817
711,0.96838
712,0.96858
713,0.96879
714,0.96899
715,0.9692
