wavelength (nm),Quantum Efficiency
300,0.08334
301,0.0872
302,0.09107
303,0.09493
304,0.09879
305,0.10266
306,0.10652
307,0.11038
308,0.11425
309,0.11811
310,0.12197
311,0.12583
312,0.1297
313,0.13356
314,0.13742
315,0.14129
316,0.14515
317,0.14901
318,0.15288
319,0.15674
320,0.1606
321,0.16447
322,0.16833
323,0.17219
324,0.17606
325,0.17992
326,0.18378
327,0.18765
328,0.19151
329,0.19537
330,0.19924
331,0.2031
332,0.20696
333,0.21083
334,0.21469
335,0.21855
336,0.22241
337,0.22628
338,0.23014
339,0.234
340,0.23787
341,0.24173
342,0.24559
343,0.24946
344,0.25969
345,0.27378
346,0.28821
347,0.30273
348,0.31767
349,0.34062
350,0.36304
351,0.38346
352,0.41049
353,0.44618
354,0.47783
355,0.5128
356,0.55239
357,0.59279
358,0.63318
359,0.65802
360,0.68056
361,0.69592
362,0.71523
363,0.74215
364,0.75498
365,0.7678
366,0.78014
367,0.79212
368,0.80409
369,0.81467
370,0.82494
371,0.83521
372,0.84548
373,0.85575
374,0.86359
375,0.86681
376,0.87003
377,0.87325
378,0.87754
379,0.88226
380,0.88698
381,0.8917
382,0.89642
383,0.90125
384,0.9064
385,0.91154
386,0.91669
387,0.92184
388,0.92699
389,0.92984
390,0.93209
391,0.93435
392,0.9366
393,0.93886
394,0.94111
395,0.94337
396,0.94505
397,0.94622
398,0.94739
399,0.94856
400,0.94973
401,0.9509
402,0.95207
403,0.95324
404,0.95441
405,0.95558
406,0.95651
407,0.95724
408,0.95798
409,0.95871
410,0.95945
411,0.96018
412,0.96091
413,0.96165
414,0.96238
415,0.96312
416,0.96385
417,0.96458
418,0.96532
419,0.96577
420,0.96616
421,0.96655
422,0.96695
423,0.96734
424,0.96774
425,0.96813
426,0.96852
427,0.96892
428,0.96931
429,0.9697
430,0.97009
431,0.97032
432,0.97055
433,0.97078
434,0.97101
435,0.97125
436,0.97148
437,0.97171
438,0.97194
439,0.97217
440,0.97242
441,0.97296
442,0.9735
443,0.97404
444,0.97458
445,0.97512
446,0.97566
447,0.9762
448,0.97674
449,0.97728
450,0.97782
451,0.97836
452,0.9789
453,0.97944
454,0.97998
455,0.98052
456,0.98106
457,0.9816
458,0.98202
459,0.98241
460,0.98281
461,0.9832
462,0.98359
463,0.98399
464,0.98438
465,0.98478
466,0.98517
467,0.98556
468,0.98596
469,0.98635
470,0.98678
471,0.9872
472,0.98763
473,0.98806
474,0.98848
475,0.98891
476,0.98934
477,0.98977
478,0.99019
479,0.99062
480,0.99101
481,0.99117
482,0.99132
483,0.99148
484,0.99164
485,0.9918
486,0.99195
487,0.99211
488,0.99227
489,0.99243
490,0.99258
491,0.99274
492,0.9929
493,0.99306
494,0.99322
495,0.99327
496,0.99327
497,0.99326
498,0.99326
499,0.99326
500,0.99325
501,0.99325
502,0.99325
503,0.99324
504,0.99324
505,0.99323
506,0.99323
507,0.99323
508,0.99322
509,0.99322
510,0.99322
511,0.99321
512,0.99321
513,0.9932
514,0.9932
515,0.9932
516,0.99319
517,0.99319
518,0.99319
519,0.99318
520,0.99318
521,0.99317
522,0.99317
523,0.99317
524,0.99316
525,0.99316
526,0.99316
527,0.99315
528,0.99315
529,0.99314
530,0.99314
531,0.99314
532,0.99313
533,0.99313
534,0.99313
535,0.99312
536,0.99312
537,0.99311
538,0.99311
539,0.99311
540,0.9931
541,0.9931
542,0.9931
543,0.9937
544,0.9948
545,0.9959
546,0.99701
547,0.99811
548,0.99921
549,1
550,0.99948
551,0.99896
552,0.99844
553,0.99792
554,0.99774
555,0.99773
556,0.99773
557,0.99773
558,0.99772
559,0.99772
560,0.99772
561,0.99771
562,0.99771
563,0.9977
564,0.9977
565,0.9977
566,0.99769
567,0.99769
568,0.99769
569,0.99768
570,0.99768
571,0.99767
572,0.99767
573,0.99767
574,0.99766
575,0.99766
576,0.99766
577,0.99765
578,0.99765
579,0.99764
580,0.99751
581,0.99714
582,0.99676
583,0.99639
584,0.99602
585,0.99565
586,0.99527
587,0.99527
588,0.99527
589,0.99526
590,0.99526
591,0.99526
592,0.99506
593,0.99471
594,0.99436
595,0.99401
596,0.99366
597,0.99332
598,0.99297
599,0.99262
600,0.99227
601,0.99192
602,0.99158
603,0.99123
604,0.99088
